salesman number,salesman,gender,age,mobile phone
12419695,Shen Haifeng,Female,38,15620510105
12135700,Xie Ercui,Female,46,18981092712
12524934,Chen Chenjia,Male,41,15098824410
12422761,Leonard Clarke,Male,38,18904797951
12137182,Feng Zhenming,Male,45,18910019042
12335892,Shui Nuobo,Male,39,13913540869
12024317,Qi Lvwei,Female,38,13983501780
12135186,Danny Smith,Male,39,15656054124
12322095,Joanne Taylor,Unknown,46,18929478204
12336560,Shi Yuzhou,Male,43,15659504876
12212675,Zhang  biqin,Female,43,13913466199
12517344,Lou White,Male,48,15622710919
12225484,Qian Qianqiu,Female,43,13826275879
12422793,Adolf Davies,Male,38,15075997121
12514710,Zheng Biyan,Female,41,15031117856
12415692,Hector White,Male,44,13932852743
12331382,Dou Yishuang,Unknown,42,18697569508
12215245,Hua Wenjing,Male,41,13841249541
12433009,Lindsay Davies,Female,44,18943286924
12321373,Rosalind Roberts,Female,41,15066206015
12520613,Li Linglian,Female,49,13834907428
12115041,Barbara Hall,Female,41,15001561594
12515554,Shi Tingping,Female,39,15061819814
12437892,Chu Runyi,Male,46,18665857267
12024501,Zhu Fanyan,Female,43,18943927144
12425145,Xu Nuobo,Male,46,18691284519
12229677,You Ruoke,Male,44,13940007283
12336059,Florrie Williams,Unknown,38,15091345681
12022040,Zhou Hanan,Female,45,13876958194
12532742,Vicky Hall,Female,48,13957748858
12529282,Shen Mengchao,Male,43,13848720803
12018250,Lv Shunhang,Male,48,18986869520
12314150,Chu Yiqing,Female,41,13880989505
12129999,Miranda Roberts,Female,38,18939713565
12310961,Rosalie Evans,Female,48,13889409221
12024495,Uerica Hall,Unknown,40,15606761479
12539199,Chen Hanfeng,Female,43,13852281965
12029531,Wang Qimei,Female,49,13860021464
12518119,Allson White,Female,43,15623346768
12138128,Han Changfei,Male,47,13986084233
12324417,Kong Yibo,Female,47,15038403217
12229608,Jiang Zhenming,Male,39,13911532865
12035157,Zhu Rufeng,Female,47,15010716872
12510095,Wei Ruichen,Male,47,13959351161
12331717,Jing Ziyan,Male,42,15688018946
12337186,Yang Zhengkai,Male,38,18974863624
12331237,Steven Edwards,Male,38,15673757797
12138885,Lenny Jackson,Male,49,13941316848
12036325,Hua Zhaoyu,Male,48,15699277820
12511280,Jessica Jones,Unknown,40,15625169397
12024384,Zhou Yaokun,Male,47,15694798702
12326010,Xie Yuyang,Female,44,13944671764
12524961,Sonia Wright,Female,45,18639197649
12437213,Lv Yinxiang,Male,41,15023405921
12530946,Oz Smith,Male,42,15087063733
12230520,Carrie Clarke,Female,43,15656026139
12227356,Phyllis Evans,Female,49,18685322740
12328128,Chen Ziyan,Male,48,13985564910
12222841,Liu Wenjing,Male,42,18659494427
12218165,Dou Ruichen,Male,39,18643572672
12227909,Scott Hall,Unknown,46,13902218906
12019358,Liu Jinquan,Male,46,18687089220
12218694,Qing Pingning,Female,38,15036759293
12229574,David Jackson,Male,41,15663811232
12238602,Qi Gulian,Female,43,13855733112
12136139,Sebastian Roberts,Male,42,13902204580
12030495,Zhou Leqiao,Unknown,38,18664254367
12135988,Jiang Qicheng,Unknown,49,18613460353
12236541,Graham Hughes,Male,42,15013857255
12230964,Qian Bochang,Unknown,47,18912693787
12218618,Bridget Patel,Female,47,18943199652
12037918,Feng Lewen,Male,44,15001256579
12524550,Shi Congde,Male,47,18907982518
12028088,Lv Ruoke,Male,39,13949123975
12135553,Cao Chuling,Female,44,13910040719
12522972,Benjamin Green,Male,39,15691335568
12232311,Xu Zhuyu,Male,44,18903294883
12220379,Chen Jiabin,Male,46,15052390956
12520920,Qian Yuyang,Female,38,18917509086
12239910,Shi Ningtao,Female,40,18962441154
12039475,Feng Hendong,Female,43,13993818952
12526738,Shui Rusi,Female,46,13979147586
12237611,Zheng Lvping,Female,43,15668995243
12017115,Cherry Lewis,Female,41,13988771717
12214196,Jackie Taylor,Female,49,15037461347
12136791,Cao Feilei,Unknown,39,13923207645
12436021,Yang Hanzhe,Male,44,18982417146
12336362,Ed Harris,Male,46,13824150273
12133114,Auberon Smith,Male,38,18653845605
12024324,Shen Yuanchun,Female,42,15051980900
12217784,Chen Yueqi,Male,45,15696096714
12524986,Carl Roberts,Unknown,45,13959111644
12331093,Jing Zhidie,Female,39,18928273520
12516705,Tao Ercui,Female,39,13855084716
12136504,Zhang Yilv,Female,39,18631655364
12525507,Florence Johnson,Female,45,13953574065
12317816,Xu Jiashu,Male,40,15683516519
12330676,Bai Zibin,Male,38,13978258053
12132875,Kong Qiaobai,Female,39,18962148638
12115565,Wei Zibin,Male,40,15066207398
12316647,Dudley White,Male,42,15014782427
12028010,Qian Yukun,Unknown,40,13820591356
12525365,Yan Ningyang,Unknown,45,15649764801
12217452,Qian Banxiang,Unknown,39,18620119860
12119064,Jing Shiyi,Male,49,15073848489
12217058,Melissa Evans,Female,46,15082681966
12319925,Bai Yingtian,Female,43,13885753171
12115057,Zhu Honglin,Male,48,13825820064
12114193,Bobby Roberts,Male,46,18699239326
12532642,Bai Ermei,Female,49,18673422309
12316407,Dulcie Patel,Female,45,18983135639
12015394,Liu Hanshuang,Female,42,15653974261
12031638,Darrell Johnson,Male,40,13913298284
12025358,Zhou Yanbai,Unknown,40,13835332483
12329572,Zou Xiaorou,Female,43,18627930507
12534660,Faustina Hall,Female,46,15660705495
12135631,Zou Linshan,Male,39,13809404711
12212417,Xu Yishan,Male,44,15045884000
12510522,Errol White,Male,42,15632395694
12012131,Qing Mining,Female,40,18987291370
12527343,Bernadette Wright,Female,42,13829691837
12037644,Alistair Smith,Male,40,18957760110
12215344,Zheng Zibin,Male,42,13818250928
12212017,Kong Chengjun,Male,44,13963900648
12429390,Zhou Canqi,Male,41,15012145938
12515386,Al Evans,Male,41,15639548357
12319902,Allson Edwards,Unknown,38,15680720535
12328364,Shen Lisheng,Male,44,13861013178
12315311,Zheng Rongchun,Male,45,13844791357
12328605,Wei Shiyan,Female,44,15674552802
12020589,Wu Fanrui,Unknown,41,13910481219
12114756,Gene Jackson,Male,41,18658431890
12538452,Miriam Evans,Female,47,15609201594
12437436,Ivan Harris,Male,39,13991194384
12333828,Archibald Thompson,Male,48,15003945587
12527116,Kong Ningbai,Female,38,15036461258
12317333,You Taian,Unknown,47,18936275779
12311939,Clare Green,Female,44,15623523765
12124702,Vivian Johnson,Unknown,41,15083663048
12135537,Kong Xiangzhe,Male,42,18608114189
12011761,Marcia Wright,Female,41,15019139646
12418149,Teresa Davies,Female,42,13891982464
12025823,Tessa White,Female,47,13963976928
12428952,He Leshuang,Female,49,13950610498
12018630,Adelina Taylor,Female,48,18698722990
12132114,Zhang Mimei,Female,46,13839866372
12336363,Han Peixiang,Female,46,15054504848
12318849,Zhou Zhuodong,Male,45,13961123893
12115476,Lv Yunzhi,Male,47,15086743807
12025951,Wang Mucheng,Male,48,15068585157
12336698,Leila Roberts,Female,45,15086821816
12025803,Lindsay Taylor,Female,47,13885244346
12124780,Mignon Walker,Female,38,18924870480
12511654,Zheng Manlv,Female,42,15006794564
12439984,Xu Honglin,Male,49,13902792173
12423251,Jiang Weian,Male,49,13898155043
12418989,Tao Yibo,Unknown,38,13866742389
12113298,Theobald Robinson,Male,42,13830333964
12420599,Han Yuzhou,Male,42,18996293617
12215097,Jiang Qizhen,Female,39,15648228450
12233091,Jing Yishan,Female,40,15604491880
12515335,Sandra Brown,Female,42,18929417326
12124348,Xie Zhenming,Male,38,15691537032
12123725,Elsa Lewis,Female,41,13963582437
12420036,You Yunzhi,Male,44,15684045816
12335679,Lenny Harris,Male,44,18923081948
12235994,Oliver Green,Male,39,15687147370
12138696,Nan Brown,Female,43,13908490013
12518536,Feng Shuliu,Female,40,15605980669
12334196,Yan Zicheng,Male,47,13965241362
12416700,Shen Zhiteng,Male,45,13941916164
12030116,Zhao Rongchun,Male,46,15074922863
12511186,Shen Jinquan,Unknown,39,15086986800
12520671,Katharine Thompson,Female,42,18622890184
12512076,Han Siyu,Male,38,15697295343
12511135,Sylvia Smith,Female,38,13808932915
12022472,Robby Jackson,Male,38,15606709103
12218885,Li Jingwen,Male,38,13968175165
12426422,Zou Jingye,Male,41,18631626712
12513583,Christian White,Male,44,13957306066
12317724,Jing Xiaotian,Female,44,18993374707
12211414,Sun Wenyan,Female,46,18663855859
12425497,Zhang Miaorui,Male,44,18672794124
12323070,Florence Lewis,Female,42,18638300869
12313632,Shen Yangchen,Male,46,13830653355
12418802,Wei Leqiao,Female,42,18971543234
12428257,Kong Yuandong,Female,44,13957711628
12536565,Jiang Rusi,Female,48,18668906200
12324708,Zheng Anran,Male,46,18618045550
12519682,Dottie Walker,Female,43,18957621651
12219121,Hua Cailing,Female,43,13836235059
12229055,Yang Penglong,Male,48,18690429590
12421096,He Ruixun,Male,48,13864072467
12014005,Lucy Hall,Female,39,13884091597
12125724,Richard Edwards,Male,43,13815125118
12238683,Ray Green,Male,40,18952408498
12219572,Nicole Taylor,Female,48,15605395407
12019473,Dou Yansen,Male,48,18909134675
12237063,Lv Jiamin,Male,49,18605231640
12015566,Sal Edwards,Female,49,18983513679
12033125,Zhu Zicheng,Male,46,13832687921
12137925,Patience Robinson,Female,45,18693605151
12313224,Florence Walker,Female,47,18654131115
12530400,Zhou Qimei,Female,46,18932304528
12415049,Qian Jichen,Male,40,18678743295
12024360,Dou Youtong,Male,39,13901526703
12136348,Zhou Lengrou,Female,45,15024361112
12115951,Yan Zhaoxuan,Male,45,13870095720
12026474,Wang Jinbo,Unknown,45,15609346411
12135194,Qian Qianyi,Female,42,13842183816
12227480,Xu Lvping,Female,45,18999680234
12021985,Jess White,Female,40,18628521261
12036413,Colin Jones,Male,40,15041003332
12025878,Yan Shilan,Female,42,15092302621
12421536,Mimi Green,Female,39,18987624415
12139634,Lv Qiufeng,Female,39,15088530748
12035643,Edmund Clarke,Male,38,15683948868
12015513,Charlene Edwards,Female,44,15667741606
12112213,Dave Jones,Male,45,18684691080
12131484,Luke Brown,Unknown,40,15653796360
12035583,Zhang Wenke,Male,42,15085745621
12028942,Chu Pingning,Female,42,13949837180
12319277,Hortensia Johnson,Female,44,13892780356
12518769,Jiang Yibo,Female,49,15053833226
12219931,Zhu Yuanchun,Female,47,13927562806
12511764,Qing Linghan,Female,45,15021016987
12037263,Candida Jackson,Female,43,15620472095
12123864,Marilyn Harris,Unknown,49,15648043188
12520721,Stan Thompson,Male,39,18987756675
12322940,Xu Shiyun,Female,49,13990824090
12118971,Qian Yiyu,Female,41,15064462930
12222019,Maria Harris,Female,39,18671435981
12525342,Millie Robinson,Female,44,13976277480
12433272,Fidelia Wilson,Female,40,13909407406
12315531,Theodoric Hughes,Male,48,13863625889
12318670,Poll Jackson,Female,41,13805244864
12024585,Chu Fangqin,Female,42,15053796611
12430524,He Benqing,Male,44,18699338307
12534944,Li Cailing,Female,43,13842545267
12130335,Qing Zhuyu,Male,39,18682004975
12439219,Tao Yixuan,Male,47,15668442761
12120999,Li Danqing,Female,42,18673636686
12320361,Wu Nuobo,Male,43,18689937217
12529872,Wei Zhuodong,Male,39,18678923634
12320397,Chu Jingwen,Male,39,15646720643
12219719,Rebecca Davies,Female,46,18695296614
12318765,Bai Xuelu,Female,38,13816578955
12026710,Wang Jiayu,Male,47,15005896783
12020132,Shen Yuming,Male,39,15087423983
12030823,Sun Tianlan,Female,41,18981600745
12136319,Camilla Thompson,Female,44,13933012299
12211807,Moira Hughes,Female,38,15034261239
12219436,Hua Zhuodong,Male,47,18634713970
12327900,Zhang Yunzhi,Unknown,38,18934670692
12121152,Stewart Jones,Unknown,40,18908287035
12137391,Geraint Walker,Male,47,15011638613
12223299,Chen Dongyan,Female,45,15099875207
12118397,Ray Wilson,Male,39,18904726351
12113204,Ed Davies,Male,42,13924863552
12220942,Yu Ziyun,Female,46,13941972839
12023873,He Wenyin,Male,43,18961133099
12116502,Stanley Thomas,Male,43,18614288867
12229765,Qian Junqin,Male,49,15621313057
12111721,Ted Taylor,Male,43,15622407318
12429303,Sal Walker,Female,44,15066448396
12511818,Chu Qiuman,Female,43,15071536983
12523441,Feng Chutai,Male,48,13909557872
12213164,Zou Xintao,Male,46,15052391875
12528024,Gillian Jones,Female,48,18651860969
12239544,Wu Jianxi,Male,49,18913537836
12328139,Jessy Clarke,Male,38,15622821239
12021161,Chu Youqing,Female,41,15660300594
12033964,Jing Jiaji,Male,38,18971995428
12017763,Gracie Williams,Unknown,38,15654771734
12414959,Yan Xiangheng,Male,48,13927999733
12537029,Bai Yuzhou,Male,43,15645334039
12015089,Xu Ziyan,Unknown,42,18925403340
12434242,Zhang Benqing,Unknown,38,13960918549
12130022,Xu Dongsi,Female,46,15618203439
12216545,Jiang Feiqing,Female,45,15063346307
12033620,Jeff Lewis,Male,43,13897824252
12524497,Dou Lingzhi,Female,48,18913957932
12213248,Salome Robinson,Female,47,13866772753
12037110,Juliet Smith,Female,40,15098059461
12018356,Ollie Patel,Male,49,18943805369
12514371,Allen Williams,Male,45,15078834977
12519236,Murray Davies,Male,48,15065481837
12221993,Rupert Walker,Unknown,44,13837332637
12328521,Shui Ruoyan,Female,44,18637811038
12422123,Zhang Runyi,Male,41,18601703786
12435189,Zhou Lewen,Male,39,13987398085
12010948,Deirdre Evans,Female,48,15033852161
12215200,Murray Edwards,Male,42,18991801109
12329807,Wei Yangyang,Male,44,15661025568
12018238,Lv Yuanxiang,Male,46,15044720365
12536273,Jiang Wenyin,Male,48,18670171493
12520181,Hamilton Edwards,Male,38,18676194473
12526443,Tao Yishan,Female,44,15651274265
12313122,Mary Wilson,Female,48,18626102534
12234612,Hua Yizhen,Female,48,18687747201
12525041,Ronnie Jackson,Male,39,13870626048
12212903,Dou Youyi,Unknown,45,18697159896
12518519,Padraic Davies,Male,42,18610106228
12433456,Zhou Manrui,Male,44,13934970262
12225924,Yan Conglei,Female,46,18647979883
12213347,Yu Huasheng,Male,43,15621142637
12216006,Dou Wanzhi,Unknown,48,15098913299
12329246,Jiang Fanrui,Unknown,46,13930330234
12111757,Qian Yupeng,Male,38,18977785520
12321914,Juliana Harris,Female,49,18980805234
12520846,Isabel Clarke,Female,43,18907350082
12330989,Eli White,Male,44,18657056752
12416942,Mabel Patel,Female,44,13832293707
12337479,Hedwig Williams,Female,38,15695281764
12128128,Yang Huanwen,Female,41,13956409278
12330715,Hua Siyu,Male,49,13844751765
12337864,Han Pingtian,Female,44,18683156813
12020409,He Hanan,Unknown,42,15661971857
12114571,Wang Shuliu,Female,44,15067727199
12135645,Liu Miaorui,Male,40,13875091436
12310973,Otto Thomas,Male,41,15074427557
12033613,Hamilton Thomas,Male,42,15023535195
12011681,Priscilla Thompson,Unknown,43,15659160287
12339050,Jing Jishan,Female,46,18649055055
12318410,Tao Xixia,Unknown,46,18913371070
